epoch,accuracy,loss,mean_absolute_error,val_accuracy,val_loss,val_mean_absolute_error
0,0.0,28951.515625,169.783935546875,1.0,134943.125,367.1234130859375
1,1.0,190113.03125,332.7554626464844,1.0,115698.140625,323.97760009765625
2,0.0,86466.15625,292.1890563964844,1.0,10838.904296875,100.47743225097656
3,0.0,26159.736328125,144.82879638671875,1.0,92067.3671875,269.1938171386719
4,1.0,50427.28515625,184.10025024414062,1.0,76080.3203125,249.92166137695312
5,1.0,35128.75,182.21868896484375,0.0,80006.15625,279.07293701171875
6,0.0,180214.0625,396.2162170410156,1.0,634.430908203125,24.350990295410156
7,0.0,3934.27099609375,61.69775390625,1.0,7123.5556640625,83.62826538085938
8,1.0,49468.9609375,220.65081787109375,1.0,38878.80859375,180.02719116210938
9,0.0,119775.5,346.04034423828125,1.0,4692.0673828125,66.42802429199219
